"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Denver","Denver","CO","Colorado",8031,"Denver",39.762,-104.8758,2709398,1805,"shape",FALSE,TRUE,"America/Denver",1,"80264 80266 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80210 80212 80216 80221 80220 80223 80222 80224 80227 80219 80211 80209 80207 80206 80205 80204 80202 80203",1840018789
"Queens","Queens","NY","New York",36081,"Queens",40.7498,-73.7976,2405464,8503,"point",FALSE,TRUE,"America/New_York",1,"11361 11362 11363 11364 11354 11355 11356 11357 11358 11359 11360 11365 11366 11367 11412 11423 11432 11433 11434 11435 11436 11101 11102 11103 11104 11105 11106 11374 11375 11379 11385 11691 11692 11693 11694 11695 11697 11004 11005 11411 11413 11422 11426 11427 11428 11429 11414 11415 11416 11417 11418 11419 11420 11421 11368 11369 11370 11372 11373 11377 11378",1840034002
"Baltimore","Baltimore","MD","Maryland",24510,"Baltimore",39.3051,-76.6144,2270087,2872,"shape",FALSE,TRUE,"America/New_York",1,"21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21223 21226 21201 21224 21225 21229",1840001592
"Las Vegas","Las Vegas","NV","Nevada",32003,"Clark",36.2333,-115.2654,2165405,1754,"shape",FALSE,TRUE,"America/Los_Angeles",1,"89146 89149 89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89145 89144 89110 89117 89129 89128 89124",1840020364
"St. Louis","St. Louis","MO","Missouri",29510,"St. Louis",38.6359,-90.2451,2144317,1905,"shape",FALSE,TRUE,"America/Chicago",1,"63110 63111 63112 63113 63115 63116 63118 63120 63107 63106 63104 63103 63102 63101 63109 63108 63155 63139 63137 63143 63147",1840001651
"Riverside","Riverside","CA","California",6065,"Riverside",33.9381,-117.3949,2112239,1556,"shape",FALSE,TRUE,"America/Los_Angeles",1,"92508 92503 92501 92506 92505 92504 92507 92521",1840020551
"Portland","Portland","OR","Oregon",41051,"Multnomah",45.5371,-122.65,2072553,1881,"shape",FALSE,TRUE,"America/Los_Angeles",1,"97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97258 97266 97219 97213 97236 97232 97233 97230 97239 97218 97214 97215 97216 97217 97210 97211 97212",1840019941
"San Antonio","San Antonio","TX","Texas",48029,"Bexar",29.4632,-98.5238,2036324,1183,"shape",FALSE,TRUE,"America/Chicago",1,"78112 78239 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78245 78242 78248 78231 78230 78233 78232 78235 78234 78237 78238 78209 78109 78266 78264 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78247 78240 78249 78073 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229",1840022220
"Sacramento","Sacramento","CA","California",6067,"Sacramento",38.5677,-121.4685,1882358,1971,"shape",FALSE,TRUE,"America/Los_Angeles",1,"95821 95820 95823 95838 95832 95833 95831 95834 95835 95811 95814 95815 95818 95819 95828 95822 95825 95824 95826 95816 95817",1840021491
"San Juan","San Juan","PR","Puerto Rico",72127,"San Juan",18.3985,-66.061,1854549,2982,"shape",FALSE,FALSE,"America/Puerto_Rico",1,"00918 00913 00912 00911 00917 00915 00926 00927 00924 00925 00923 00920 00921 00906 00907 00901 00909 00969",1630035577
"San Jose","San Jose","CA","California",6085,"Santa Clara",37.3012,-121.848,1797166,2229,"shape",FALSE,TRUE,"America/Los_Angeles",1,"95119 95118 95128 95124 95125 95122 95008 95002 95117 95116 95111 95110 95113 95112 95126 95127 95120 95123 95148 95133 95132 95131 95130 95136 95134 95139 95138 95037 95013 95129 95121",1840021570
"Orlando","Orlando","FL","Florida",12095,"Orange",28.4773,-81.337,1792047,994,"shape",FALSE,TRUE,"America/New_York",1,"32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32811 32812 32814",1840015099
